cal_pool_relative,cal_frac_total,method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
0.1,0.025,saps_global_safe_l0p1,180,0.9847087565107222,0.021945305378024853,0.9468661952714531,0.08683855785135666,0.016115171242087317,0.0035875112164804918,9,3.21632261096288,1.690242461711175,20,catboost+lgbm+rf,0+1+2
0.2,0.05,aps_global_safe,180,0.9980550195241384,0.0034396568067732378,0.9865171437467015,0.041808755101712204,0.0032539682539682543,0.0,0,4.59623119455433,1.2737497211313398,20,catboost+lgbm+rf,0+1+2
0.2,0.05,rank_audit_consistency_floor3,180,0.9958631235283999,0.007726460556581747,0.9958631235283999,0.007726460556581747,0.0,0.0,0,4.338888888888889,1.9119263703620784,20,catboost+lgbm+rf,0+1+2
0.2,0.05,rank_global,180,0.9557672595997135,0.03549102694115235,0.9557672595997135,0.03549102694115235,,0.02726859206485167,65,2.1055555555555556,1.0908313790201476,20,catboost+lgbm+rf,0+1+2
0.2,0.05,rank_global_floor3_safe,180,0.9917400109800154,0.01031663583654804,0.9917400109800154,0.01031663583654804,0.0,0.0,0,3.816666666666667,1.6762388064690692,20,catboost+lgbm+rf,0+1+2
0.2,0.05,rank_global_floor3_ultrasafe,180,0.9958631235283999,0.007726460556581747,0.9958631235283999,0.007726460556581747,0.0,0.0,0,4.338888888888889,1.9119263703620784,20,catboost+lgbm+rf,0+1+2
0.2,0.05,rank_global_safe,180,0.9888991047721203,0.01682578203147448,0.9888991047721203,0.01682578203147448,0.0002574525745257455,0.0015579710144927534,3,3.561111111111111,1.900202544008333,20,catboost+lgbm+rf,0+1+2
0.2,0.05,saps_global_safe_l0p1,180,0.9865313844966752,0.016685011438991336,0.9534529034825164,0.0575470947177229,0.008538227652434883,0.0008853540061462945,4,3.137507029832546,1.540988791700733,20,catboost+lgbm+rf,0+1+2
0.5,0.125,aps_global_safe,180,0.9980821951910269,0.0030809153401713503,0.9853986455238672,0.04936186253574014,0.004351851851851852,0.0,0,4.505531094054822,1.1750818619408185,20,catboost+lgbm+rf,0+1+2
0.5,0.125,rank_audit_consistency_floor3,180,0.9968764278913939,0.004348596932080939,0.9968764278913939,0.004348596932080939,0.0,0.0,0,4.283333333333333,1.8887346123143371,20,catboost+lgbm+rf,0+1+2
0.5,0.125,rank_global,180,0.9583779420782507,0.03188878657447807,0.9583779420782507,0.03188878657447807,,0.022349035428256225,65,2.1222222222222222,1.0813583200138568,20,catboost+lgbm+rf,0+1+2
0.5,0.125,rank_global_floor3_safe,180,0.9936621366706699,0.006913215499566315,0.9936621366706699,0.006913215499566315,0.0,0.0,0,3.783333333333333,1.5107621370145832,20,catboost+lgbm+rf,0+1+2
0.5,0.125,rank_global_floor3_ultrasafe,180,0.9973258823489295,0.0038510619137302566,0.9973258823489295,0.0038510619137302566,0.0,0.0,0,4.355555555555555,1.8986093770780608,20,catboost+lgbm+rf,0+1+2
0.5,0.125,rank_global_safe,180,0.9931137970577504,0.0071772689875678015,0.9931137970577504,0.0071772689875678015,0.0,0.0,0,3.611111111111111,1.6859222858915524,20,catboost+lgbm+rf,0+1+2
0.5,0.125,saps_global_safe_l0p1,180,0.9872640353365458,0.011373326438530949,0.9488384085164586,0.06594438023920934,0.012221807444925726,0.00025252525252525274,1,3.090165370945143,1.3935233987908608,20,catboost+lgbm+rf,0+1+2
1.0,0.25,aps_global_safe,180,0.9975489229903016,0.004118572698375752,0.979243560871335,0.0818924644044259,0.0070506653839987185,0.0,0,4.405749681753405,1.1342439205813424,20,catboost+lgbm+rf,0+1+2
