module,method,runs,tasks,models,coverage,sscs,dmax,dmean,violations,violation_rate,size,pass_rate,fallback_rate
Hard20,saps_l0.1,300,20,5,0.9552801723932455,0.8650796187243931,0.024100865567305004,0.008486153821377088,126,0.42,2.3106342305525507,,
Hard20,saps_safe_l0.1,300,20,5,0.9838179122115593,0.9156706518323595,0.0006109149078769326,0.00020363830262564366,8,0.02666666666666667,3.0309111238641835,,
Hard20,class_conditional_aps,300,20,5,0.9566322207310287,0.8562008394418015,0.009027010442221825,0.0034192581245394513,80,0.26666666666666666,2.713126222452199,,
Hard20,class_conditional_raps,300,20,5,0.9418510519057424,0.8268506335379181,0.018826529515293365,0.007281769145888615,129,0.43,2.1205731116228836,,
Hard20,rank_global,300,20,5,0.9555716799292001,0.9555716799292001,0.021575104515662094,0.007358502968048094,111,0.37,2.19,,
Hard20,rank_safe,300,20,5,0.9907705991972456,0.9907705991972456,0.000111111111111111,3.7037037037036996e-05,1,0.0033333333333333335,3.433333333333333,,
Hard20,rank_ultra,300,20,5,0.9974716939923508,0.9974716939923508,0.0,0.0,0,0.0,4.296666666666667,,
Hard20,rank_safe_floor3,300,20,5,0.9916899139250709,0.9916899139250709,0.0,0.0,0,0.0,3.6466666666666665,,
Hard20,rankcover_confcert_adaptive,300,20,5,0.9984238779686959,0.9984238779686959,0.0,0.0,0,0.0,5.09,0.37,0.63
Hard20,rankcover_empirical_zero_matched,300,20,5,0.9970211224520108,0.9970211224520108,0.00019444444444444433,6.481481481481467e-05,2,0.006666666666666667,4.43,0.59,0.41
TabICL119,aps_global,357,119,1,0.9957497026506194,0.9858134990917928,0.00018679776350286384,6.226592116762128e-05,2,0.0056022408963585435,3.61958793870555,,
TabICL119,lac_global,357,119,1,0.9307687327265605,0.8787028528057924,0.06009696873636158,0.021356611912912077,253,0.7086834733893558,1.564015716250241,,
TabICL119,raps_global,357,119,1,0.9522757637155678,0.8858489313718414,0.026374666763597926,0.010076647176885068,139,0.38935574229691877,1.8333591531119886,,
TabICL119,aps_safe,357,119,1,0.9988479332619553,0.9946533155676164,0.0,0.0,0,0.0,4.2076263565257275,,
TabICL119,saps_l0.1,357,119,1,0.9723051975791694,0.891217597160299,0.011182285454938115,0.003912533333643517,62,0.17366946778711484,2.073864378685048,,
TabICL119,saps_safe_l0.1,357,119,1,0.9859422937642066,0.9202518912067743,0.0009721130280498047,0.0003240376760166003,10,0.028011204481792718,2.366509779042743,,
TabICL119,class_conditional_aps,357,119,1,0.9671014024408859,0.8893559766624886,0.01044496477573626,0.004115373891732623,78,0.2184873949579832,2.7026213101417462,,
TabICL119,class_conditional_raps,357,119,1,0.9572402150387196,0.8467429673229248,0.015939884683132417,0.006475234913666971,111,0.31092436974789917,1.9507156622923139,,
TabICL119,rank_global,357,119,1,0.9583483640481254,0.9583483640481254,0.03354363664952469,0.011388848726879106,157,0.43977591036414565,1.9663865546218486,,
TabICL119,rank_safe,357,119,1,0.991400760038844,0.991400760038844,0.0001781846973815975,5.939489912719888e-05,3,0.008403361344537815,2.8711484593837535,,
TabICL119,rank_ultra,357,119,1,0.9975539399492005,0.9975539399492005,0.0,0.0,0,0.0,3.649859943977591,,
TabICL119,rank_safe_floor3,357,119,1,0.9935179556255485,0.9935179556255485,0.0001781846973815975,5.939489912719888e-05,3,0.008403361344537815,3.224089635854342,,
TabICL119,rankcover_confcert_adaptive,357,119,1,0.998773156916522,0.998773156916522,0.0,0.0,0,0.0,4.350140056022409,0.3025210084033613,0.6974789915966386
TabICL119,rankcover_empirical_zero_matched,357,119,1,0.9960739906203245,0.9960739906203245,0.0006997041619723434,0.0002332347206574476,5,0.014005602240896359,3.6050420168067228,0.5602240896358543,0.43977591036414565
